,productName,productPrice(INR),productDesc,productImg,productBuyLink
40,ADIDAS,3499,Men Solid Val Run Run Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18373484/2022/10/11/b39340ef-4cfd-4ca6-a5e1-3ca490e648a31665472086635-ADIDAS-Men-Black-Solid-Woven-Design-Val-Run-Running-Shoes-69-1.jpg",https://myntra.com/sports-shoes/adidas/adidas-men-black-solid-woven-design-val-run-running-shoes/18373484/buy
22,ADIDAS,3449,Men Flaze Mode Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23130792/2023/11/2/20b51ad1-7310-439f-8df2-8282d36ceca41698905594401-ADIDAS-Men-Sports-Shoes-5851698905594168-1.jpg",https://myntra.com/sports-shoes/adidas/adidas-men-woven-design-round-toe-flaze-mode-running-shoes-with-striped-detail/23130792/buy
45,Puma,2794,Men Softride Furlridep Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24195316/2023/9/5/1f39f4c4-29da-430a-9bf3-8efc5e05a5011693916896485-Puma-Softride-Furlride-Walking-Shoes-6451693916896184-1.jpg",https://myntra.com/sports-shoes/puma/puma-men-softride-furlride-walking-shoes/24195316/buy
12,Puma,2699,Better Foam Prowl Alt Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24095758/2023/11/3/7c957e76-5c78-40d9-8185-5abb80cfa0651699005239844-Betr-Fom-Prl-Slip-Molt-MetWn-Running-Shoes-3651699005239608-1.jpg",https://myntra.com/sports-shoes/puma/puma-women-better-foam-prowl-alt-metal-running-shoes/24095758/buy
6,Puma,2599,Men Escoot Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26027256/2023/11/29/9144aaba-b228-4eff-861b-3b6669541acc1701253388013-Puma-Escoot-521701253387775-1.jpg",https://myntra.com/sports-shoes/puma/puma-men-escoot-running-shoes/26027256/buy
17,Puma,1934,Men Knit IDP Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11335236/2023/2/17/5208c538-a791-40eb-aefd-19dee83eb96f1676632776096-Puma-Men-Black-Solid-Slip-On-Knit-Walking-Shoes-703167663277-12.jpg",https://myntra.com/sports-shoes/puma/puma-men-black-solid-slip-on-knit-walking-shoes/11335236/buy
11,Cultsport,1899,Unisex X1 Training Shoe,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16557792/2022/7/28/3ee058a1-09c7-41e7-b236-05265dd45ce81658999986287-Cultsport-Unisex-Grey--Orange-X1-Training-Shoes-981165899998-12.jpg",https://myntra.com/sports-shoes/cultsport/cultsport-unisex-grey--orange-x1-training-shoes/16557792/buy
32,Red Tape,1769,Men Perforations PU Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26950142/2024/1/16/b7fb425e-6d01-4329-ab87-a5d1ad7a814d1705409471868RedTapeMenBlackColourblockedPUSneakers1.jpg",https://myntra.com/casual-shoes/red+tape/red-tape-men-perforations-mid-top-lace-up-sneakers/26950142/buy
19,House of Pataudi,1677,Men Textured Formal Oxfords,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24008436/2023/7/13/8334b22f-d0c1-477b-98f6-45d1018733421689267742909Menblackpetantformaloxfordsshoes1.jpg",https://myntra.com/formal-shoes/house+of+pataudi/house-of-pataudi-men-textured-formal-oxfords/24008436/buy
4,NEEMANS,1649,Lightweight Slip-On Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23208118/2023/5/17/fe2453d1-95a8-4cfd-b585-75479e7ae1ab1684311139934NEEMANSUnisexBlackWovenDesignSlip-OnSneakers1.jpg",https://myntra.com/casual-shoes/neemans/neemans-woven-design-lightweight-slip-on-sneakers/23208118/buy
41,Red Tape,1539,Men Mesh Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25947988/2023/11/20/d1ebf1ab-67ff-459e-ab5f-c8b5ae2fd50d1700470248737RedTapeMenBlackMeshWalkingNon-MarkingShoes1.jpg",https://myntra.com/sports-shoes/red+tape/red-tape-men-mesh-walking-shoes/25947988/buy
39,Red Tape,1539,Men Textile Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24780526/2023/9/2/e6dde8c8-3fa4-44b4-a3c1-658d8fedd3741693654318915RedTapeAthleisureSportShoesForMenComfortStyleandPerformance1.jpg",https://myntra.com/sports-shoes/red+tape/red-tape-men-flow-textile-walking-shoes/24780526/buy
21,HRX by Hrithik Roshan,1504,Men Mesh Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25857856/2023/11/11/d403da0b-4342-464b-866d-27e3bfd387ff1699668300596SportsShoes1.jpg",https://myntra.com/sports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-black-mesh-walking-sports-shoes/25857856/buy
5,HRX by Hrithik Roshan,1399,Men Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24032380/2023/7/15/bfac733c-1168-4f67-bde0-1d05cf6eddb21689413552708HRXbyHrithikRoshanMenBlackMeshRunningNon-MarkingShoes1.jpg",https://myntra.com/sports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-black-mesh-running-non-marking-shoes/24032380/buy
20,Red Tape,1379,Men Walking Sports Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19545526/2022/8/18/7cde54f0-5cfe-46e1-b39a-611c2570e40e1660821197109RedTapeMenBlackMeshHigh-TopWalkingNon-MarkingShoes1.jpg",https://myntra.com/sports-shoes/red+tape/red-tape-men-black-mesh-walking-sports-shoes/19545526/buy
23,NEEMANS,1299,Woven Design Slip-On Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22856796/2023/4/22/0ddb7459-b98c-4c2f-b949-6563f3154b5b1682137369057NEEMANSUnisexBlackSlip-OnSneakers1.jpg",https://myntra.com/casual-shoes/neemans/neemans-woven-design-slip-on-sneakers/22856796/buy
9,NEEMANS,1299,Woven Design Lace-Up Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22851026/2023/4/21/1b048609-1200-46d3-99aa-62bf41aa6c101682072066556TheEverydayBasicSneakers-ElectricBlack1.jpg",https://myntra.com/casual-shoes/neemans/neemans-woven-design-lace-up-sneakers/22851026/buy
44,HRX by Hrithik Roshan,1239,Men Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23940022/2023/7/8/06e28b12-9250-49a8-b596-e3d008adcdf61688830317355HRXbyHrithikRoshanMenBlackMeshRunningNon-MarkingShoes1.jpg",https://myntra.com/sports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-black-mesh-memory-foam-running-non-marking-shoes/23940022/buy
35,Red Tape,1239,Men Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20153024/2022/9/24/65c1a3cc-d720-4899-a0ff-3b7eef8b3d341664009344919RedTapeMenBlackMeshWalkingNon-MarkingShoes1.jpg",https://myntra.com/sports-shoes/red+tape/red-tape-men-black-mesh-walking-shoes/20153024/buy
34,House of Pataudi,1224,Men Textured Formal Loafers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21747344/2023/1/30/202009b0-66c5-48f9-97d5-012bd43bf81b1675057336045HouseOfPataudiMenBlackFauxLeatherFormalSlipOnLoafers1.jpg",https://myntra.com/formal-shoes/house+of+pataudi/house-of-pataudi-men-textured-formal-loafers/21747344/buy
8,Red Tape,1219,Men Lace-Ups Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26435786/2023/12/15/45c504ea-1a20-4151-b27e-6c3a16161ff31702621605822SportsShoes1.jpg",https://myntra.com/sports-shoes/red+tape/red-tape-men-textured-lace-ups-walking-shoes/26435786/buy
42,Red Tape,1199,Men Colourblocked Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23837976/2023/7/1/58984184-0b67-4e40-8202-af7b61e65f251688202092967RedTapeMenBlackColourblockedPUSneakers1.jpg",https://myntra.com/casual-shoes/red+tape/red-tape-men-colourblocked-mid-top-contrast-sole-sneakers/23837976/buy
37,Campus,1199,Men Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15474902/2022/5/18/b40db336-28d6-4b18-8824-bde3ffeaa8ad1652874266073CampusMenBlackMeshRunningNon-MarkingShoes1.jpg",https://myntra.com/sports-shoes/campus/campus-men-black-mesh-running-shoes/15474902/buy
7,Campus,1196,Men Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13273434/2023/4/6/983aa78d-c869-4aa5-8616-a27f84feb6981680759761066-Campus-Men-Black-Mesh-Running-Shoes-4081680759760668-1.jpg",https://myntra.com/sports-shoes/campus/campus-men-black-mesh-running-shoes/13273434/buy
15,Red Tape,1139,Men Perforated Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23837950/2023/7/1/9e77a7e0-f7cc-433c-8e99-279f4ed3717a1688196022688RedTapeMenBlackColourblockedPUSneakers1.jpg",https://myntra.com/casual-shoes/red+tape/red-tape-men-perforated-contrast-sole-sneakers/23837950/buy
24,Red Tape,1119,Men Colourblocked PU High-Top Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23410028/2023/5/26/0aac564d-628b-4974-8d35-78a8ab44dbd01685100093331RedTapeMenBlackColourblockedPUHigh-TopSneakers1.jpg",https://myntra.com/casual-shoes/red+tape/red-tape-men-colourblocked-pu-high-top-sneakers/23410028/buy
47,Red Tape,1119,Women Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21920768/2023/2/10/d890891f-9675-4bb9-9f12-a6ce1d231c7b1676019544044SportsShoes1.jpg",https://myntra.com/sports-shoes/red+tape/red-tape-women-textile-running-shoes/21920768/buy
36,HRX by Hrithik Roshan,1109,Men Perforations Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25776488/2023/11/6/abd4d849-25ed-43de-bdb1-c62f8c5d51cc1699260252520HRXbyHrithikRoshanMenBlackColourblockedSneakers1.jpg",https://myntra.com/casual-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-black--white-perforations-comfort-insole-sneakers/25776488/buy
1,Campus,1104,Men Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15465490/2022/7/21/f51e052e-dc84-4f1d-8aed-97371b4861881658381401685-Campus-Men-Black-Mesh-Running-Non-Marking-Shoes-751165838140-1.jpg",https://myntra.com/sports-shoes/campus/campus-men-black-mesh-running-shoes/15465490/buy
0,Red Tape,1079,Men Colourblocked Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23837948/2023/7/1/d85bb274-a6df-4bee-875d-7dfc98a986581688199092946RedTapeMenBlackColourblockedSneakers1.jpg",https://myntra.com/casual-shoes/red+tape/red-tape-men-colourblocked-contrast-sole-sneakers/23837948/buy
28,Red Tape,1059,Men Walking Sports Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21619050/2023/6/28/2864e621-49af-4a14-bbe9-73b72b0430a41687929267917-Red-Tape-Men-Mesh-Walking-Sports-Shoes-3791687929267533-1.jpg",https://myntra.com/sports-shoes/red+tape/red-tape-men-mesh-walking-sports-shoes/21619050/buy
27,HRX by Hrithik Roshan,999,Women Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27110316/2024/1/22/4c4bdf11-dca6-4429-b9f1-1dfb6c8f8b4e1705935648010HRXbyHrithikRoshanWomenMeshRunningNon-MarkingShoes1.jpg",https://myntra.com/sports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-women-mesh-running-shoes/27110316/buy
49,HRX by Hrithik Roshan,989,Women Running Sports Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25669494/2023/10/28/02abe450-8109-4d40-af9b-a0216ffd67751698500235520SportsShoes1.jpg",https://myntra.com/sports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-women-black-mesh-running-sports-shoes/25669494/buy
2,HRX by Hrithik Roshan,989,Men Running Sports Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22799380/2023/4/17/fcf2784c-86d7-43f3-9915-5ed40992fba81681747991254SportsShoes1.jpg",https://myntra.com/sports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-black-and-grey-non-marking-running-sports-shoes/22799380/buy
16,Campus,985,Women Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10071063/2022/6/30/d15fa186-a0e0-45c9-9541-ef06f446095d1656584530091-Campus-Women-Black-Mesh-Running-Shoes-7671656584529664-1.jpg",https://myntra.com/sports-shoes/campus/campus-women-black-mesh-running-shoes/10071063/buy
13,Red Tape,959,Men Black Mesh Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19439134/2022/8/8/1f3d217e-6397-461b-b5d3-6060cc0cb7e11659974417404SportsShoes1.jpg",https://myntra.com/sports-shoes/red+tape/red-tape-men-black-walking-shoes/19439134/buy
26,Campus,909,Men Crysta Pro Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17541968/2023/11/3/8a440f71-0cbc-4654-96c0-34181ec066c81698991594585-Campus-Men-Black-Mesh-Crysta-Pro-Running-Shoes-3061698991594-1.jpg",https://myntra.com/sports-shoes/campus/campus-men-black-mesh-crysta-pro-running-shoes/17541968/buy
38,DOCTOR EXTRA SOFT,899,Women Canvas Slip-On Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24889248/2023/9/11/12ddd611-3820-4080-b433-5dfef7a54d471694412269689DOCTOREXTRASOFTWomenBlackWovenDesignSlip-OnSneakers1.jpg",https://myntra.com/casual-shoes/doctor+extra+soft/doctor-extra-soft-women-textured-lightweight-memory-foam-insole-canvas-slip-on-sneakers/24889248/buy
29,Campus,895,Men Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16180900/2022/5/18/994a8e1a-0038-4386-b836-cc6f375b6c481652874260672CampusMenBlackOrangeHurricaneRunningShoes1.jpg",https://myntra.com/sports-shoes/campus/campus-men-black--orange-hurricane-running-shoes/16180900/buy
