,productName,productPrice(INR),productDesc,productImg,productBuyLink
2,Bacca Bucci,1499,"Zeus Men Fashion Sneakers/Running Shoes with Chunky Rubber Outsole for Running, Walking, Training, Gyming, Streets, Parties & Fun",https://m.media-amazon.com/images/I/716kSfEScGS._AC_UL320_.jpg,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MjgwOTEwMDczOTIxMDQyOjE3MDc3MjEwMzc6c3BfYnRmOjIwMTY0MDk4MDc4Mjk4OjowOjo&url=%2FBacca-Bucci-Fashion-Sneakers-Training%2Fdp%2FB0973D8DNH%2Fref%3Dsr_1_60_sspa%3Fcrid%3D2YO34STXS8CY4%26keywords%3DShoes%2BBlack%26qid%3D1707721037%26sprefix%3DShoes%2BBlack%252Caps%252C374%26sr%3D8-60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
13,HRX by Hrithik Roshan,1399,Men Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24032380/2023/7/15/bfac733c-1168-4f67-bde0-1d05cf6eddb21689413552708HRXbyHrithikRoshanMenBlackMeshRunningNon-MarkingShoes1.jpg",https://myntra.com/sports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-black-mesh-running-non-marking-shoes/24032380/buy
3,HEALTH FIT,1399,Orthopedic & Diabetic Sports Shoes Breathable Soft Sole Ultra-Lightweight Running/Walking Sports Shoes for Men's 721,https://m.media-amazon.com/images/I/4146fUzacHL._AC_UL320_.jpg,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MjgwOTEwMDczOTIxMDQyOjE3MDc3MjEwMzc6c3BfYXRmOjMwMDEwODQ3MjY5NzczMjo6MDo6&url=%2FHEALTH-FIT-Ultra-Lightweight-721bBK-BK-9-Black-Black%2Fdp%2FB0C1TDZNX4%2Fref%3Dsr_1_3_sspa%3Fcrid%3D2YO34STXS8CY4%26keywords%3DShoes%2BBlack%26qid%3D1707721037%26sprefix%3DShoes%2BBlack%252Caps%252C374%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
14,Red Tape,1379,Men Walking Sports Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19545526/2022/8/18/7cde54f0-5cfe-46e1-b39a-611c2570e40e1660821197109RedTapeMenBlackMeshHigh-TopWalkingNon-MarkingShoes1.jpg",https://myntra.com/sports-shoes/red+tape/red-tape-men-black-mesh-walking-sports-shoes/19545526/buy
15,NEEMANS,1299,Woven Design Slip-On Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22856796/2023/4/22/0ddb7459-b98c-4c2f-b949-6563f3154b5b1682137369057NEEMANSUnisexBlackSlip-OnSneakers1.jpg",https://myntra.com/casual-shoes/neemans/neemans-woven-design-slip-on-sneakers/22856796/buy
16,NEEMANS,1299,Woven Design Lace-Up Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22851026/2023/4/21/1b048609-1200-46d3-99aa-62bf41aa6c101682072066556TheEverydayBasicSneakers-ElectricBlack1.jpg",https://myntra.com/casual-shoes/neemans/neemans-woven-design-lace-up-sneakers/22851026/buy
17,HRX by Hrithik Roshan,1239,Men Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23940022/2023/7/8/06e28b12-9250-49a8-b596-e3d008adcdf61688830317355HRXbyHrithikRoshanMenBlackMeshRunningNon-MarkingShoes1.jpg",https://myntra.com/sports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-black-mesh-memory-foam-running-non-marking-shoes/23940022/buy
18,Red Tape,1239,Men Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20153024/2022/9/24/65c1a3cc-d720-4899-a0ff-3b7eef8b3d341664009344919RedTapeMenBlackMeshWalkingNon-MarkingShoes1.jpg",https://myntra.com/sports-shoes/red+tape/red-tape-men-black-mesh-walking-shoes/20153024/buy
19,House of Pataudi,1224,Men Textured Formal Loafers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21747344/2023/1/30/202009b0-66c5-48f9-97d5-012bd43bf81b1675057336045HouseOfPataudiMenBlackFauxLeatherFormalSlipOnLoafers1.jpg",https://myntra.com/formal-shoes/house+of+pataudi/house-of-pataudi-men-textured-formal-loafers/21747344/buy
20,Red Tape,1219,Men Lace-Ups Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26435786/2023/12/15/45c504ea-1a20-4151-b27e-6c3a16161ff31702621605822SportsShoes1.jpg",https://myntra.com/sports-shoes/red+tape/red-tape-men-textured-lace-ups-walking-shoes/26435786/buy
